"ZmPla1.2","ZmPla1.2_raw","experiment","plate","well","barcode","tube_num_full","tube_num","tissue_key","tissue","ID","temp_tx","fertilizer_tx","tray","pot","line","source","tissue_stage","date_planted","emergence_date","unique_id","harvest_date","genotype","inv4m_genotype","uniqueID","file","Filename","fastqc","Total_Sequences","samp","full_geno","group"
1.84855053611234,2,"gc72","2","F1","ILLSINHA3",113,113,0,"V3 Leaf tissue","gc72148","warm","low",9,2,"PT",NA,"V3","3/2/2017","3/4/2017","warm_9_2_V3","3/14/2017","PT","Inv4m","gc72148_0","GC72_P2_ILLSINHA3_1.fq.gz","GC72_P2_ILLSINHA3_1.fq.gz","pass",1479125,"GC72_P2_ILLSINHA3","PT_Inv4m","warm_PT_Inv4m"
-0.929435406217244,0,"gc72","2","E1","ILLSINHA4",141.1,141,1,"V3 Primary root","gc72174","warm","low",10,6,"F1",NA,"V3","3/2/2017","3/6/2017","warm_10_6_V3","3/14/2017","F1","H","gc72174_1","GC72_P2_ILLSINHA4_1.fq.gz","GC72_P2_ILLSINHA4_1.fq.gz","pass",1675433,"GC72_P2_ILLSINHA4","F1_H","warm_F1_H"
-1.59463920660011,0,"gc72","2","D1","ILLSINHA5",113.1,113,1,"V3 Primary root","gc72148","warm","low",9,2,"PT",NA,"V3","3/2/2017","3/4/2017","warm_9_2_V3","3/14/2017","PT","Inv4m","gc72148_1","GC72_P2_ILLSINHA5_1.fq.gz","GC72_P2_ILLSINHA5_1.fq.gz","pass",2941636,"GC72_P2_ILLSINHA5","PT_Inv4m","warm_PT_Inv4m"
-0.619736837949719,0,"gc72","2","C1","ILLSINHA6",137.1,137,1,"V3 Primary root","gc72166","warm","low",10,2,"B73",NA,"V3","3/2/2017",NA,"warm_10_2_V3","3/14/2017","B73","B73","gc72166_1","GC72_P2_ILLSINHA6_1.fq.gz","GC72_P2_ILLSINHA6_1.fq.gz","pass",1272766,"GC72_P2_ILLSINHA6","B73_B73","warm_B73_B73"
4.82436682380436,61,"gc72","2","F6","ILLSINHA43",171,171,0,"V3 Leaf tissue","gc72060","warm","high",4,3,"PT",NA,"V3","3/2/2017","3/6/2017","warm_4_3_V3","3/15/2017","PT","Inv4m","gc72060_0","GC72_P2_ILLSINHA43_1.fq.gz","GC72_P2_ILLSINHA43_1.fq.gz","pass",4234407,"GC72_P2_ILLSINHA43","PT_Inv4m","warm_PT_Inv4m"
3.66578365331464,3,"gc72","2","D6","ILLSINHA45",103,103,0,"V3 Leaf tissue","gc72028","warm","high",2,5,"B73",NA,"V3","3/2/2017","3/6/2017","warm_2_5_V3","3/14/2017","B73","B73","gc72028_0","GC72_P2_ILLSINHA45_1.fq.gz","GC72_P2_ILLSINHA45_1.fq.gz","pass",734896,"GC72_P2_ILLSINHA45","B73_B73","warm_B73_B73"
-2.06994688619033,0,"gc72","2","C6","ILLSINHA46",103.1,103,1,"V3 Primary root","gc72028","warm","high",2,5,"B73",NA,"V3","3/2/2017","3/6/2017","warm_2_5_V3","3/14/2017","B73","B73","gc72028_1","GC72_P2_ILLSINHA46_1.fq.gz","GC72_P2_ILLSINHA46_1.fq.gz","pass",3550756,"GC72_P2_ILLSINHA46","B73_B73","warm_B73_B73"
-2.62771108310052,0,"gc72","2","B6","ILLSINHA47",171.1,171,1,"V3 Primary root","gc72060","warm","high",4,3,"PT",NA,"V3","3/2/2017","3/6/2017","warm_4_3_V3","3/15/2017","PT","Inv4m","gc72060_1","GC72_P2_ILLSINHA47_1.fq.gz","GC72_P2_ILLSINHA47_1.fq.gz","pass",4866077,"GC72_P2_ILLSINHA47","PT_Inv4m","warm_PT_Inv4m"
-0.694495399782345,1,"gc72","2","A6","ILLSINHA48",78.1,78,1,"V3 Primary root","gc72082","warm","high",5,5,"F1",NA,"V3","3/2/2017","3/6/2017","warm_5_5_V3","3/13/2017","F1","H","gc72082_1","GC72_P2_ILLSINHA48_1.fq.gz","GC72_P2_ILLSINHA48_1.fq.gz","pass",3854604,"GC72_P2_ILLSINHA48","F1_H","warm_F1_H"
-1.87717683879396,0,"gc72","2","H7","ILLSINHA49",290.1,290,1,"V3 Primary root","gc72238","cold","high",4,2,"B73",NA,"V3","3/2/2017","3/13/2017","cold_4_2_V3","3/28/2017","B73","B73","gc72238_1","GC72_P2_ILLSINHA49_1.fq.gz","GC72_P2_ILLSINHA49_1.fq.gz","pass",3963884,"GC72_P2_ILLSINHA49","B73_B73","cold_B73_B73"
