gene,expression,samp,tissue_key,tissue,temp_tx,fertilizer_tx,line
ZmLpcat,6.015455369,GC73_P4_ILLSINHA95,0,V3_Leaf_tissue,cold,low,PT
ZmLpcat,6.043974089,GC73_P4_ILLSINHA96,0,V3_Leaf_tissue,cold,low,B73
ZmLpcat,6.051415263,GC73_P6_ILLSINHA55,0,V3_Leaf_tissue,cold,high,PT
ZmLpcat,6.059995517,GC72_P1_ILLSINHA89,0,V3_Leaf_tissue,cold,high,PT
ZmLpcat,6.063158491,GC72_P2_ILLSINHA43,0,V3_Leaf_tissue,control,high,PT
ZmLpcat,6.095178501,GC72_P3_ILLSINHA55,0,V3_Leaf_tissue,cold,high,PT
ZmLpcat,6.104789043,GC72_P3_ILLSINHA53,0,V3_Leaf_tissue,cold,high,B73
ZmLpcat,6.107913552,GC73_P4_ILLSINHA37,0,V3_Leaf_tissue,control,high,F1
ZmLpcat,6.153559927,GC72_P1_ILLSINHA95,0,V3_Leaf_tissue,cold,low,F1
ZmLpcat,6.170786662,GC73_P6_ILLSINHA53,0,V3_Leaf_tissue,cold,high,F1
ZmLpcat,6.177255188,GC73_P4_ILLSINHA44,0,V3_Leaf_tissue,control,low,PT
ZmLpcat,6.24263517,GC73_P4_ILLSINHA45,0,V3_Leaf_tissue,control,low,B73
ZmLpcat,6.310001278,GC73_P5_ILLSINHA3,0,V3_Leaf_tissue,control,low,B73
ZmLpcat,6.310948241,GC72_P2_ILLSINHA53,0,V3_Leaf_tissue,cold,low,F1
ZmLpcat,6.333915819,GC72_P2_ILLSINHA52,0,V3_Leaf_tissue,cold,low,B73
ZmLpcat,6.336270495,GC72_P3_ILLSINHA61,0,V3_Leaf_tissue,cold,low,B73
ZmLpcat,6.360833889,GC73_P4_ILLSINHA39,0,V3_Leaf_tissue,control,high,B73
ZmLpcat,6.47071148,GC73_P6_ILLSINHA8,0,V3_Leaf_tissue,control,low,B73
ZmLpcat,6.483173214,GC73_P5_ILLSINHA1,0,V3_Leaf_tissue,control,low,F1
ZmLpcat,6.514933305,GC73_P5_ILLSINHA52,0,V3_Leaf_tissue,cold,low,F1
ZmLpcat,6.563865844,GC73_P5_ILLSINHA44,0,V3_Leaf_tissue,control,high,F1
ZmLpcat,6.597683904,GC73_P5_ILLSINHA45,0,V3_Leaf_tissue,control,high,B73
ZmLpcat,6.680899695,GC73_P6_ILLSINHA7,0,V3_Leaf_tissue,control,low,F1
ZmLpcat,6.75285467,GC73_P4_ILLSINHA90,0,V3_Leaf_tissue,cold,high,B73
ZmLpcat,7.061691185,GC72_P3_ILLSINHA1,0,V3_Leaf_tissue,control,high,B73
ZmPla1.2,1.157448983,GC72_P4_ILLSINHA37,0,V3 Leaf tissue,control,high,F1
ZmPla1.2,1.800466543,GC72_P4_ILLSINHA45,0,V3 Leaf tissue,control,low,B73
ZmPla1.2,1.924579153,GC72_P3_ILLSINHA7,0,V3 Leaf tissue,control,low,F1
ZmPla1.2,2.556258711,GC72_P5_ILLSINHA45,0,V3 Leaf tissue,control,high,B73
ZmPla1.2,2.603773702,GC72_P6_ILLSINHA8,0,V3 Leaf tissue,control,low,B73
