data$RILS,BLOCK,LPCs,PCs,PCs_LPCs,PC32_1.LPC_18_1,PC34_1.LPC_18_1,PC36_1.LPC_18_1,PC36_2.LPC_18_1,PC32_1.LPC_18_2,PC34_1.LPC_18_2,PC36_1.LPC_18_2,PC36_2.LPC_18_2,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_16_0__9_0_CHO,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_2,PC_35_3,PC36_1,PC_36_2,PC_36_3_A,PC_36_3_B,PC_36_4_A,PC_36_5_A,PC_38_2,PC_38_5_A,PC_p_36_3__PC_o_36_4,PE_34_2,SM_d32_1,TG_46_3,TG_48_0,TG_48_3,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_3,TG_54_4,TG_54_5,TG_56_4
LANMLR17B024,NA,5482441.5,11727557,2.427538374,0.22010416796,2.72376576125,0.17677910254,4.293095343,0.005876394565,0.073161965405,0.0047584528365,0.11531457556000001,86785.5,NaN,139120,4168982.5,1087553.5,NaN,28601,17811,23967.5,51910,226426,4049086,2017079.5,26537,59313.5,45607.5,14832.5,356877,268341.5,249465,1803772,2391507.5,15853,11317,17795,330631.5,2183,NaN,6154,NaN,135927.5,114523.5,47538.5,NaN,18271,48413,26144,NaN,NaN,15752.5,46997,96722.5,92936,NaN
LANMLR17B026,NA,3224314,12650260.666666666,4.0924792016666665,0.04203926757333333,1.7774170266666667,0.16757065812666666,3.013604572,0.0019507165456666667,0.09179307657666666,0.008677580999666666,0.14714797990333334,85517,11733,140344,2528441,466101,4405,19885,5123.333333333333,20998.333333333332,25159,225631.66666666666,3541441.3333333335,1673055.6666666667,26223.333333333332,73775.33333333333,37503.333333333336,20831.333333333332,362292.6666666667,448766,232364.66666666666,2702425.6666666665,3117361.3333333335,25924.666666666668,23548.666666666668,22067,212699.33333333334,7020.5,NaN,47709.666666666664,NaN,21591,32240.333333333332,14180,NaN,12321,36566,23392.666666666668,226539,206018,37329.333333333336,40649,83012.33333333333,98421.5,NaN
LANMLR17B027,NA,3915611.5,7195658.5,2.24071292,0.030310032405,0.56096281365,0.03345560091,0.72424024405,0.0011456939982,0.020427707764000002,0.0012127742335,0.0275556669945,111374,18809.5,92210,3182990.5,510227.5,4632.5,22819,2831,5839.5,69814.5,52188,2319836.5,1217334,21723.5,37546,75010.5,3111,67693,128882.5,76249,1591608.5,1441159.5,5777,18184.5,33418.5,85074.5,17405.5,6872.5,18710.5,6830,21279,57424.5,35561,9231,22011,29747,37491,286323.5,466624,251619,20131.5,35215.5,74754.5,3037
LANMLR17B028,NA,3192370.5,12567313,4.084197259,0.15826252468500002,2.1753277785,0.18576041355,3.2199908665,0.0085529178465,0.11990114675,0.010308275398,0.17732800450000002,145836.5,18395,110675,1977831,948830.5,4188,25165.5,16446,15889.5,35885,236186.5,3310566.5,2485653.5,53353.5,80936,72592,20469.5,348946,325553,462979,1909421.5,3055057,18881,23112.5,41624,132768,7318,NaN,33115,NaN,49365.5,52720.5,24150,NaN,21552,45585,23844.5,78717,141578,75850,32944,64308.5,44043,NaN
LANMLR17B029,NA,4685091,6631596.5,1.5882390201999999,0.042840669474999996,0.86818853795,0.04709545593,1.2278435911,8.040053856000001e-4,0.0163448290565,8.756066306e-4,0.0229615572445,120210,15136.5,63004,3601240,885500.5,6594,8902.5,2449.5,7576,47533,49300.5,2066442.5,1095210.5,20548.5,33937,45537,2747.5,70747,134091,96869,1360522,1542989.5,2595.5,14209.5,22794.5,129617.5,10324,2998,4163,2313,5311.5,25303,14408.5,8114,19480.5,13033.5,21974.5,282421,461586.5,245151.5,6745.5,29646,94675,1667.5
LANMLR17B032,NA,4202671.666666667,13322213.666666666,3.422523151,0.14798249996666665,2.155088791,0.22265085823333333,3.668584369,0.005062233445,0.07815674165333333,0.007774720053666667,0.1247397038,94047.66666666667,NaN,97042.33333333333,3129598.6666666665,881983,NaN,41718.666666666664,14560.666666666666,15847.333333333334,103556,216052.66666666666,4234462.666666667,2667814.6666666665,29933.333333333332,67447,66861.66666666667,22043.333333333332,360345.3333333333,324297.3333333333,340469.6666666667,1978141.3333333333,2678199,18053.333333333332,15811,38724,307976.6666666667,5484,NaN,7334.666666666667,NaN,23192.333333333332,29211.333333333332,22928,NaN,7834.666666666667,29163.666666666668,26003.333333333332,NaN,NaN,8517.666666666666,20701.333333333332,38878.666666666664,69241.5,NaN
LANMLR17B033,NA,6400732,8819350,1.9805417577,0.0807792715655,1.0308396856450002,0.059842653695,1.08531392075,0.004733875940750001,0.060599014325,0.0034800258713000003,0.063501818178,703296,45381,200281.5,3701579,1772885,164663,11983.5,13314.5,12291,23179,167994.5,2301428.5,2177820.5,17165,52856.5,46836.5,10136,179904,145948.5,231560,957211.5,2345734,12268.5,2904.5,7833,270059.5,4101.5,959,2510.5,1077,9622.5,10001.5,2988.5,554,2607.5,5997,5668,4462,3089,3506.5,4684,6825.5,2843,581
LANMLR17B035,NA,3985572.5,6770641.5,1.6983785715000002,0.06388911805,0.85350930035000006,0.0669159559,1.11852498095,0.00181474212565,0.023439920955,0.00188998926345,0.030692794614999998,80703.5,15919,81249,3080350,727351,2811.5,17032,5512,9665,18477,71416,2134606,1267498,16651.5,37232.5,36692,5743.5,93521,163658,143615.5,1242208,1469188.5,5178,9439,20496.5,142737,9931.5,9742,4321,8820,8460.5,55388,41738,11479.5,26987.5,22262,31965.5,342534.5,653439.5,414037,9538,43908,113146.5,5617.5
LANMLR17B036,NA,5939167.5,10067220,1.7603982685,0.15427680282,1.848405939,0.12886580365,2.0536627564999996,0.004812667932,0.057737091805,0.004030328477,0.064609672955,115545,NaN,142678.5,4287899,1393045,NaN,48654,18084,19787,74885,217977.5,3256720,1548578,27005,78665.5,64151.5,15284,250136,307944.5,181046,1680311.5,2130685,10748,15864.5,28621,444162.5,NaN,NaN,8353.5,NaN,131711,115635.5,38864,NaN,15827.5,291173,270041,NaN,NaN,12851,212178,297506,371186,NaN
LANMLR17B037,NA,2204812,11432115,5.512767882,0.12200156697,1.5066157586,0.145939801305,2.9133369055,0.007184203519,0.088219933845,0.008563021013000001,0.169514303905,231198,38177,92935,1652344.5,209246,5732,36558,10255.5,15465,96348.5,128763.5,4140660.5,1989826.5,23586.5,84710,86167.5,12398.5,253556,231287.5,213283.5,2155829,1817372,15519.5,13193.5,67514.5,213054.5,18945,29974,21591,22814,21202.5,61648.5,46503,20024,49834,46009.5,43124,427475,584182,187783,39904.5,74392,149538.5,8228
LANMLR17B039,NA,2132446.5,10544708.5,5.052528744,0.048643113875000005,1.7833827455,0.1254976265,1.1484974343499998,0.0033450163644999998,0.1296055248,0.0098840154265,0.08633796926500001,93867.5,12656,121996,1597672,306255,5319,19355,5484.5,14756.5,35587.5,208523.5,3077477,1866781,25207.5,61911.5,49267.5,15490,137358.5,451587,177807,2281681,3613352.5,9239,13208,3669,182137,7174.5,1564,5000,694,6751,13411,8826,1004,6924,10122,17486,113718.5,167751.5,86136.5,6808.5,20656.5,58741.5,1045
LANMLR17B040,NA,439233,17418705,39.65709544,1.250462557,32.45135846,2.049566657,39.07361963,0.06372040631,1.653639075,0.1044407283,1.99109274,184328,NaN,10269,201521,43115,NaN,25264,12841,25461,23665,333243,6020545,2686175,40646,61456,129102,21047,401247,510981,281231,3179279,3527621,17991,21502,3325,151107,2690,NaN,1900,NaN,12895,8352,3233,NaN,9361,18187,5480,NaN,NaN,1105,19419,52992,NaN,NaN
LANMLR17B041,NA,311881.5,16786254,57.672031395,6.517845428499999,81.029318945,4.4059402135,113.14974751,0.19633588415,2.489381733,0.13233546425,3.3665606279999998,73481.5,NaN,5583.5,172314,60502.5,NaN,27461,32392.5,29832,47649.5,423912.5,4982997.5,2773202,46703.5,80031.5,60583,21729,544058.5,412937.5,409533.5,2543857.5,4215305.5,16841,29000,5871.5,306527,NaN,NaN,6245.5,NaN,19902.5,120274,87349.5,NaN,11959.5,53523,117263,NaN,NaN,15811.5,33356.5,100923.5,235640,NaN
LANMLR17B042,NA,269151.3333333333,13920532,84.88822121333334,4.819196333333333,49.96715240333333,5.244123136333333,54.02307847,0.34761934478333334,3.223968043466667,0.3984780284933333,3.114323017333333,97532,12960,5561,128159,29259.333333333332,12753,40696,21623.333333333332,22007.333333333332,33870,220323.66666666666,4378341.666666667,2306929.3333333335,31939,33544,35083.666666666664,22789,264268.6666666667,342049.6666666667,257017.66666666666,2492922.3333333335,3333381.3333333335,8257,20390,10316.666666666666,186381.66666666666,4967.5,629.5,5638.333333333333,1035.5,4633.333333333333,14924.666666666666,9377.666666666666,1114.5,2348.6666666666665,9605.333333333334,13463.666666666666,36386,58214,24888,5506.666666666667,10066.333333333334,26580.666666666668,1309.5
LANMLR17B043,NA,5707299,11847862,2.150581609,0.22328257312,1.900453145,0.12048219643,3.069044591,0.005704733939,0.05094255654,0.003265280037,0.08059512898,84801.5,NaN,126021.5,4043708,1452768,NaN,25296.5,20838.5,29997,104139,196186.5,3720402,1996466,36030,49362,47875,12719,303638.5,315094,247794.5,2014990.5,2640343,13196.5,12840,19090.5,351422.5,3208,NaN,3467,NaN,25420.5,22504.5,41214.5,NaN,6748.5,28056,12714.5,NaN,NaN,3940,35899.5,93293,NaN,NaN
