,ROW_ID,PLANT_ID,FIELD,LOCATION,LAT,LON,ELE,SERIES,YEAR,ROW_NUM,PLANT_NUM,PLANTED,X1,Y1,X2,Y2,X_MID,Y_MID,CROSS,PANEL,TYPE,BLOCK,GENOTYPE,geno_pla,STOCK_FIELD,MUM_STOCK,DAD_STOCK,MUM_GEN,BLOCK_FIELD,lipid_batch_number,DTS,DTA,LPCs,PCs,CE_20_3,DG_34_2,DG_36_2,DG_36_3,DG_36_4,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_16_0__9_0_CHO,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_35_3,PC36_1,PC_36_2,PC_36_3_A,PC_36_3_B,PC_36_4_A,PC_36_4_C,PC_36_5_A,PC_36_5_B,PC_37_3,PC_38_2,PC_38_3_K,PC_38_5_A,PC_p_34_2__PC_o_34_3,PC_p_36_3__PC_o_36_4,PC_p_36_4__PC_o_36_5,PE_34_2,SM_d32_1,SM_d36_1,TG_46_0,TG_46_3,TG_48_0,TG_48_1,TG_48_2,TG_48_3,TG_50_0,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_0,TG_52_1,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_1,TG_54_2,TG_54_3,TG_54_4,TG_54_5,TG_54_6,TG_54_8,TG_56_4
48,RS16-2076,,MT2016,MT,19.2,-99.5,2582,RS,2016,2076,NA,4/5/16,-99.54765762,19.22455544,-99.54762848,19.22455605,-99.54764305,19.22455574,,B73xPT,E,BLOCK1,LANMLR17B075,,IR2014,RS14_1765.1,PSIB,LANMLR17B075,MT1,BATCH2,129,127,2959979,9219859,NA,3151,NA,NA,2506,79119,13048,49723,2311785,506304,1224,15603,10443,22472,25853,74674,2980859,1506710,30357,NA,55459,32722,6860,129655,215953,175274,1850313,NA,2055690,NA,NA,7487,NA,9208,NA,13043,NA,202245,8484,NA,NA,948,5196,NA,NA,777,NA,1740,14300,10449,1174,2976,NA,NA,7278,9016,83824,129280,81827,NA,NA,1903,12105,25151,NA,NA,1468
143,RS16-2378,,MT2016,MT,19.2,-99.5,2582,RS,2016,2378,NA,4/5/16,-99.54736045,19.2245412,-99.54733127,19.22454181,-99.54734586,19.22454151,,B73xPT,E,BLOCK2,LANMLR17B075,,IR2014,RS14_1765.1,PSIB,LANMLR17B075,MT2,BATCH1,122,120,2277837,15246456,NA,NA,NA,NA,NA,118606,NA,46874,1739829,372528,NA,26156,17357,27084,46801,180397,5318366,3070174,49899,NA,68574,77736,14133,281548,248523,212072,2680630,NA,2820978,18180,30979,15736,3202,16366,NA,21565,NA,182062,9063,10879,NA,NA,2913,4109,3307,NA,17542,52346,52867,11082,NA,15908,1537,24699,42692,36811,NA,NA,3559,NA,15439,34059,79458,NA,NA,NA,NA
245,RS16-3058,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3058,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B075,,,RS14_1765.1,,LANMLR17B075,PV1,BATCH3,54,50,3434819,15944122,NA,NA,11285,7621,16495,147944,53756,70255,2197151,965713,19619,49951,12649,32382,85514,346158,6109459,2214745,38484,3945,56870,44935,31742,571286,418813,282125,2965645,14165,2490372,29120,18545,19132,NA,21252,NA,NA,67214,505216,NA,NA,NA,NA,9561,6719,NA,NA,1419,13469,31107,12783,6800,7554,NA,6871,22130,55172,498732,471950,NA,3515,1702,20071,102862,391781,NA,NA,2139
358,RS16-3346,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3346,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B075,,,RS14_1765.1,,LANMLR17B075,PV2,BATCH4,58,49,2318654,8757405,34869,127321,NA,3946,69278,63616,7262,18484,1381037,848255,15036,43055,1354,10719,56501,85979,1824391,1802988,30316,NA,65755,42983,8967,142854,119770,263832,1211864,NA,3006911,NA,NA,3832,5952,14346,NA,NA,NA,208020,18259,NA,14498,NA,26187,NA,NA,NA,NA,34578,63698,NA,NA,NA,NA,NA,56003,49149,344726,599225,403974,NA,31292,34636,101333,103878,417457,1546849,NA
404,RS16-3531,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3531,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK3,LANMLR17B075,,,RS14_1765.1,,LANMLR17B075,PV3,BATCH1,55,52,6269500,11392376,NA,NA,NA,NA,NA,103831,NA,97557,4024433,2043679,NA,70357,9892,15250,62568,265445,4128795,2692384,26844,NA,77514,67203,13689,262703,195234,218584,1224284,NA,1993233,17044,17342,12696,7051,10082,NA,4182,NA,116145,2313,4681,NA,NA,3973,3926,3291,NA,14318,76351,56909,9325,NA,6657,9093,26307,45860,18470,NA,NA,8554,NA,13791,49447,119448,NA,NA,NA,NA
93,RS16-2126,,MT2016,MT,19.2,-99.5,2582,RS,2016,2126,NA,4/5/16,-99.54761439,19.22441313,-99.54758497,19.22441373,-99.54759968,19.22441343,,B73xPT,E,BLOCK1,LANMLR17B077,,IS2015,15H358,PSIB,LANMLR17B077,MT1,BATCH1,132,132,2234742,14935268,NA,NA,NA,NA,NA,154324,NA,78663,1743360,258395,NA,26046,12959,19377,56667,238541,5059105,2685474,32262,NA,91075,74142,17749,378859,336252,330430,2446761,NA,2970280,39965,26638,19634,12413,26536,NA,34103,NA,320890,5184,10007,NA,NA,9124,2359,3393,NA,24916,64422,55470,23156,NA,13601,8055,41989,65292,34560,NA,NA,9459,NA,25532,63534,150974,NA,NA,NA,NA
203,RS16-2591,,MT2016,MT,19.2,-99.5,2582,RS,2016,2591,NA,4/5/16,-99.54714252,19.22439554,-99.54711304,19.22439615,-99.54712778,19.22439584,,B73xPT,E,BLOCK3,LANMLR17B077,,IS2015,15H358,,LANMLR17B077,MT3,BATCH4,127,129,3092565,7215986,3008,140215,NA,4910,135936,66443,11890,140790,2622163,251279,8170,50229,2436,12069,19440,114526,NA,1382128,11968,NA,58529,22923,10638,105836,281421,106907,1930981,7487,3074271,NA,NA,4823,5231,5973,NA,NA,NA,190868,6380,NA,4968,NA,1755,NA,NA,NA,NA,13804,30190,NA,NA,NA,NA,NA,14027,49343,456450,582557,263595,NA,1883,9319,67875,272390,1242899,1490833,NA
240,RS16-3052,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3052,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B077,,,15H358,,LANMLR17B077,PV1,BATCH4,NA,NA,2328195,8186346,15630,87334,NA,6938,64104,52201,8645,61700,1334953,870696,2408,42746,10023,18811,68853,286660,1362817,1347251,28176,NA,58569,34520,23301,323134,398875,290873,1314690,11840,2526813,NA,NA,11729,13674,10583,NA,NA,NA,387121,4700,NA,14028,NA,144948,NA,NA,NA,NA,13214,41322,NA,NA,NA,NA,NA,13933,47467,485505,619351,236772,NA,4832,10073,113032,213006,972276,1314351,NA
362,RS16-3351,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3351,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B077,,,15H358,,LANMLR17B077,PV2,BATCH4,NA,54,1849662,8096294,13119,161980,NA,3182,74891,78024,8428,41650,1210559,511001,19079,48334,7107,11303,68226,170083,1518209,1497022,20625,NA,63731,46216,15403,359456,170116,376731,1080216,NA,2595849,NA,NA,12779,3753,12056,NA,NA,NA,73390,12232,NA,4422,NA,34413,NA,NA,NA,NA,85070,118214,NA,NA,NA,NA,NA,293532,262575,492802,698450,411809,NA,93630,229645,462202,200010,447357,1366736,NA
444,RS16-3585,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3585,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK3,LANMLR17B077,,,15H358,,LANMLR17B077,PV3,BATCH4,NA,NA,2442277,8483400,23990,119408,NA,6287,67365,74845,10042,36151,1467304,853935,3589,52410,7865,16197,77794,252587,1530401,1462009,22145,NA,68036,35771,19848,313261,322536,314665,1425456,NA,2526168,NA,NA,10940,9956,11766,NA,NA,NA,264734,12213,NA,18637,NA,70200,NA,NA,NA,NA,12810,46411,NA,NA,NA,NA,NA,27870,42841,440160,662770,285328,NA,8652,11634,89739,129027,688500,1431057,NA
57,RS16-2085,,MT2016,MT,19.2,-99.5,2582,RS,2016,2085,NA,4/5/16,-99.5476578,19.2246168,-99.54762878,19.22461742,-99.54764329,19.22461711,,B73xPT,E,BLOCK1,LANMLR17B080,,IS2015,15H359,PSIB,LANMLR17B080,MT1,BATCH1,126,124,4992855,12013082,NA,NA,NA,NA,NA,110228,NA,161665,3996585,724377,NA,28706,11495,16178,24093,211610,4649169,2199407,32624,NA,64487,56346,12194,214374,268780,154581,1874492,NA,2101233,11052,16944,10956,6711,15958,NA,31692,NA,115480,5009,13770,NA,NA,15136,13671,7494,NA,29394,187440,128128,27369,NA,13125,9416,63202,130484,29422,NA,NA,13502,NA,29942,89475,223557,NA,NA,NA,NA
132,RS16-2366,,MT2016,MT,19.2,-99.5,2582,RS,2016,2366,NA,4/5/16,-99.54736236,19.22462305,-99.54733334,19.22462367,-99.54734785,19.22462336,,B73xPT,E,BLOCK2,LANMLR17B080,,IS2015,15H359,PSIB,LANMLR17B080,MT2,BATCH1,122,120,5435312,10571188,NA,NA,NA,NA,NA,81258,NA,76584,3747879,1529591,NA,72815,18563,12556,20249,184323,3457780,2568839,22886,NA,42926,55213,30810,101363,142909,108497,1564867,NA,2031125,NA,45774,3485,9344,23048,NA,53816,NA,82575,NA,51282,NA,NA,123177,14459,4132,NA,90562,29648,348545,336257,NA,41284,73064,4526,81013,116507,NA,NA,76594,NA,21377,30295,93457,243279,NA,NA,NA
254,RS16-3073,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3073,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B080,,,15H359,,LANMLR17B080,PV1,BATCH3,55,52,6298354,12239767,NA,NA,12064,6456,13888,95139,43135,114801,3671355,2373924,3089,60572,2229,26361,51850,380111,5619352,2192317,38918,7918,41603,31595,37932,600896,369665,357492,2239699,13212,13656,26828,15366,21967,NA,17112,NA,NA,70027,585565,NA,NA,NA,NA,10303,7852,NA,NA,1314,19059,58928,25141,6800,8268,NA,10389,38279,88392,755670,872934,NA,8302,10323,48411,142950,328439,NA,NA,9454
338,RS16-3324,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3324,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B080,,,15H359,,LANMLR17B080,PV2,BATCH4,53,49,1532479,7364645,11245,94193,NA,3241,33479,40718,3335,33707,865669,589050,11683,123081,1641,5594,22560,132635,1813794,1823425,9972,NA,37164,17008,10498,90521,137578,206787,699660,NA,2209686,NA,NA,2763,3231,5364,NA,NA,NA,143876,8415,NA,8637,NA,117918,NA,NA,NA,NA,8145,62915,NA,NA,NA,NA,NA,22443,35557,487185,1167728,974478,NA,2538,10978,101968,183023,817923,2190026,NA
83,RS16-2111,,MT2016,MT,19.2,-99.5,2582,RS,2016,2111,NA,4/5/16,-99.54761499,19.22451541,-99.54758577,19.22451602,-99.54760038,19.22451572,,B73xPT,E,BLOCK1,LANMLR17B084,,PV2015,RS15_573.3,PSIB,LANMLR17B084,MT1,BATCH1,117,115,162826,17344051,NA,NA,NA,NA,NA,56505,NA,2276,81461,22584,NA,15915,29564,40215,53646,370149,5814343,3137345,50764,NA,71887,45838,17116,479246,395773,394267,2468690,NA,3788925,28042,76693,16970,14207,26726,NA,7730,NA,480137,NA,4237,NA,NA,3120,3725,1347,NA,5152,38842,27023,6708,NA,7033,1048,15534,30664,11692,NA,NA,3994,NA,11939,28613,74585,NA,NA,NA,NA
122,RS16-2356,,MT2016,MT,19.2,-99.5,2582,RS,2016,2356,NA,4/5/16,-99.5474047,19.22462898,-99.5473757,19.22462959,-99.5473902,19.22462929,,B73xPT,E,BLOCK2,LANMLR17B084,,PV2015,RS15_573.3,PSIB,LANMLR17B084,MT2,BATCH1,114,112,185706,17178422,NA,NA,NA,NA,NA,68162,NA,3822,89275,24447,NA,56066,40443,38949,36083,305118,6103983,3287518,53784,NA,50113,31872,25676,277705,361120,265683,2558056,NA,3494597,23158,113765,15393,9629,26593,NA,3118,NA,382954,NA,28950,NA,NA,45402,4739,3787,NA,50850,7563,27943,18072,NA,7549,65551,2210,13361,27551,NA,NA,15478,NA,4074,11216,28514,73983,NA,NA,NA
185,RS16-2560,,MT2016,MT,19.2,-99.5,2582,RS,2016,2560,NA,4/5/16,-99.54719019,19.22453111,-99.54716098,19.22453172,-99.54717559,19.22453141,,B73xPT,E,BLOCK3,LANMLR17B084,,PV2015,RS15_573.3,,LANMLR17B084,MT3,BATCH1,114,112,144460,16842183,NA,NA,NA,NA,NA,41283,NA,4238,76628,22311,NA,35333,27971,35095,114588,450707,5784904,2408639,37362,NA,62620,26856,20611,362730,562736,234696,3124113,NA,3438590,18586,35697,19366,8061,20989,NA,11933,NA,915035,NA,4550,NA,NA,1481,1218,2493,NA,6715,25144,7508,18910,NA,6379,1292,13479,31881,10877,NA,NA,3407,NA,10798,28987,109890,NA,NA,NA,NA
278,RS16-3100,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3100,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B084,,,RS15_573.3,,LANMLR17B084,PV1,BATCH4,53,47,375241,7765128,7217,175812,NA,4012,127410,228005,8758,5014,102892,30572,9394,105556,24760,25686,91172,540765,1147703,1147438,40234,NA,83209,45972,23036,445904,505952,364132,1129091,16634,1962603,NA,NA,13074,26565,16248,NA,NA,NA,602127,1919,NA,8923,NA,112398,NA,NA,NA,NA,133262,177127,NA,NA,NA,NA,NA,235791,213633,903345,1080220,523765,NA,38178,84861,319829,270444,1144257,1290591,NA
341,RS16-3327,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3327,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B084,,,RS15_573.3,,LANMLR17B084,PV2,BATCH4,55,52,197137,11181348,9458,141504,NA,3144,114671,91763,3672,3178,71048,27476,12009,48776,18285,20212,101718,595742,1681214,1679585,42391,NA,78502,68262,28904,619469,490716,555937,1621140,21314,3429454,NA,NA,15895,22319,29504,NA,NA,NA,741202,7397,NA,9655,NA,114629,NA,NA,NA,NA,19826,49212,NA,NA,NA,NA,NA,35487,40516,295265,458913,244257,NA,14425,15646,78344,100520,431592,1162925,NA
181,RS16-2556,,MT2016,MT,19.2,-99.5,2582,RS,2016,2556,NA,4/5/16,-99.54719115,19.2245584,-99.547162,19.22455901,-99.54717657,19.22455871,,B73xPT,E,BLOCK3,LANMLR17B086,,IS2015,15H361,,LANMLR17B086,MT3,BATCH1,126,123,4356506,12548001,NA,NA,NA,NA,NA,77068,NA,81876,3123311,1074251,NA,29943,15350,25928,160582,215059,4151839,2327966,27702,NA,72657,43742,16220,361532,272567,270315,1907100,NA,2560375,19379,13915,16572,6927,13555,NA,18776,NA,322657,NA,3447,NA,NA,9262,8507,18535,NA,4803,20576,115330,122290,NA,189252,9284,5895,51271,90329,NA,NA,27391,NA,11130,22031,87005,195027,NA,NA,NA
389,RS16-3380,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3380,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B086,,,15H361,,LANMLR17B086,PV2,BATCH4,55,53,3298706,8044944,17205,104623,NA,1566,62270,66404,13871,69872,1545783,1602776,2374,40993,2546,12978,61453,116392,1545152,1467770,29486,NA,57427,35524,13657,228196,201652,286733,1301219,NA,2607157,NA,NA,11874,7017,15344,NA,NA,NA,318631,9838,NA,7726,NA,81157,NA,NA,NA,NA,7416,30285,NA,NA,NA,NA,NA,7317,16459,307793,530408,281729,NA,1621,6151,79900,109484,613851,1505477,NA
397,RS16-3523,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3523,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK3,LANMLR17B086,,,15H361,,LANMLR17B086,PV3,BATCH4,56,48,3117902,7118876,26304,119293,NA,2722,65840,65640,12541,72457,1741881,1225383,1998,43217,2837,8119,43710,95923,1755857,1467944,16576,NA,38981,31089,9802,135054,125305,176843,921087,NA,2217327,NA,NA,8402,4956,13849,NA,NA,NA,52507,11178,NA,9970,NA,110945,NA,NA,NA,NA,11698,61294,NA,NA,NA,NA,NA,26114,44001,475732,855130,477560,NA,7189,9862,123346,164700,657112,1797258,NA
3,RS16-2027,,MT2016,MT,19.2,-99.5,2582,RS,2016,2027,NA,4/5/16,-99.5477,19.22447273,-99.5476707,19.22447334,-99.54768535,19.22447303,,B73xPT,E,BLOCK1,LANMLR17B090,,IS2015,15H362,PSIB,LANMLR17B090,MT1,BATCH2,118,122,2274692,10139140,NA,11871,NA,NA,5390,30419,4008,48319,1791287,400659,15844,10788,4075,11510,83815,78728,2914961,1639369,12189,NA,30005,6456,3630,53730,217232,28480,2825361,NA,2192616,NA,NA,2985,NA,3062,NA,4304,NA,99894,4550,NA,NA,2680,2412,NA,NA,2975,NA,1464,6522,4484,1615,5444,NA,NA,3107,4091,45966,76366,57175,NA,NA,2038,4625,19981,NA,NA,1308
150,RS16-2386,,MT2016,MT,19.2,-99.5,2582,RS,2016,2386,NA,4/5/16,-99.54735917,19.22448663,-99.54732988,19.22448724,-99.54734453,19.22448694,,B73xPT,E,BLOCK2,LANMLR17B090,,IS2015,15H362,PSIB,LANMLR17B090,MT2,BATCH1,118,120,2976079,14624126,NA,NA,NA,NA,NA,226836,NA,127737,2314771,306735,NA,25790,11402,19734,NA,234804,4947302,2322613,29621,NA,69103,74523,13977,213397,402659,140887,2973976,NA,3029396,22782,25585,16863,3006,22962,NA,23744,NA,194536,5728,12898,NA,NA,11676,4594,9067,NA,11631,29994,19030,13453,NA,15792,2909,18883,30583,11638,NA,NA,2885,NA,14693,30098,85573,NA,NA,NA,NA
161,RS16-2534,,MT2016,MT,19.2,-99.5,2582,RS,2016,2534,NA,4/5/16,-99.54723553,19.22461891,-99.5472065,19.22461952,-99.54722101,19.22461922,,B73xPT,E,BLOCK3,LANMLR17B090,,IS2015,15H362,,LANMLR17B090,MT3,BATCH1,120,122,3427299,13689673,NA,NA,NA,NA,NA,44224,NA,57117,2529851,796107,NA,60827,22582,39510,86670,430329,4301071,1611949,23800,NA,74112,30014,26691,332374,638710,192467,2694257,NA,3055403,14324,13067,14113,5275,14167,NA,7961,NA,757187,NA,25079,NA,NA,15593,3832,3756,NA,15396,6410,19302,11099,NA,17804,22784,3216,10863,27154,NA,NA,8356,NA,3047,9908,30564,110861,NA,NA,NA
395,RS16-3388,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3388,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B090,,,15H362,,LANMLR17B090,PV2,BATCH4,48,46,832270,11781980,19430,111489,NA,4793,62723,74123,4569,34655,536702,182221,29807,81166,5350,15993,76011,265330,NA,3295519,26118,NA,74471,48969,26871,333045,263012,470984,1834022,NA,4901700,NA,NA,12237,9944,11431,NA,NA,NA,93619,13933,NA,3418,NA,1515,NA,NA,NA,NA,82947,49940,NA,NA,NA,NA,NA,56459,46030,167826,359666,183942,NA,28883,27101,64137,101188,287821,1008428,NA
21,RS16-2046,,MT2016,MT,19.2,-99.5,2582,RS,2016,2046,NA,4/5/16,-99.54765702,19.22435088,-99.54762747,19.22435148,-99.54764224,19.22435118,,B73xPT,E,BLOCK1,LANMLR17B091,,IS2015,15H363,PSIB,LANMLR17B091,MT1,BATCH2,118,116,4325871,7048056,NA,33798,NA,NA,16632,180144,20404,140280,3647557,337486,4412,42905,4685,2959,164416,59310,2290127,906412,20875,NA,58856,123078,4288,68792,134627,62077,1648099,NA,1349481,NA,NA,10915,NA,7877,NA,83865,NA,146294,16622,NA,NA,2966,16924,NA,NA,2386,NA,20706,49482,30568,3889,14250,NA,NA,28379,43042,239695,290215,148773,NA,NA,17889,29182,70592,NA,NA,1654
262,RS16-3082,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3082,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B091,,,15H363,,LANMLR17B091,PV1,BATCH4,54,52,785006,8903614,16581,117521,NA,3186,77744,81644,9708,18619,439973,235062,17782,156493,10924,16489,36337,419577,1407855,1407944,30954,NA,90355,67148,21839,326441,463200,548951,1208706,14400,2626757,NA,NA,13120,9304,9038,NA,NA,NA,236189,2924,NA,3633,NA,35872,NA,NA,NA,NA,15830,57519,NA,NA,NA,NA,NA,26097,38864,523613,993776,720333,NA,7479,9480,136112,234892,837386,1623538,NA
345,RS16-3332,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3332,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B091,,,15H363,,LANMLR17B091,PV2,BATCH4,54,50,3325691,8330619,7033,102689,NA,4905,63424,41558,7391,40134,2334188,902420,11184,32816,2696,11341,56153,123286,NA,1935311,27137,NA,36016,12454,16750,172633,209723,235231,1858076,NA,3559121,NA,NA,10010,6464,14217,NA,NA,NA,240297,18277,NA,3097,NA,2353,NA,NA,NA,NA,28720,50743,NA,NA,NA,NA,NA,22954,32651,365916,568230,248966,NA,6806,12715,59401,137815,562180,999095,NA
304,RS16-3286,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3286,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B092,,,RS15_580.3,,LANMLR17B092,PV2,BATCH4,56,56,5285314,7407167,8663,107579,NA,3170,67616,51327,8376,130202,3909543,1185866,12155,82837,4473,9458,41722,152256,NA,1744862,32180,NA,33468,26157,13459,95823,287185,285533,1673744,NA,2884435,NA,NA,7615,9070,10735,NA,NA,NA,176053,9853,NA,4787,NA,1718,NA,NA,NA,NA,30488,15971,NA,NA,NA,NA,NA,47253,29357,157163,215788,127606,NA,3481,28468,32355,82558,406664,963922,NA
40,RS16-2067,,MT2016,MT,19.2,-99.5,2582,RS,2016,2067,NA,4/5/16,-99.54765744,19.22449407,-99.54762817,19.22449468,-99.5476428,19.22449437,,B73xPT,E,BLOCK1,LANMLR17B093,,IS2015,15H365,PSIB,LANMLR17B093,MT1,BATCH2,127,125,3162583,8166552,NA,19757,NA,NA,3947,73848,15065,93315,2632916,347439,17569,18875,3097,5175,23932,60751,2721223,1614006,14164,NA,48506,33050,3688,80192,165268,100840,1714699,NA,1502186,NA,NA,3321,NA,9961,NA,26049,NA,94970,4470,NA,NA,3315,3877,NA,NA,1438,NA,2969,45431,37528,4961,18435,NA,NA,16430,23649,243851,439341,301599,NA,NA,4429,28202,66012,NA,NA,4499
287,RS16-3110,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3110,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B093,,,15H365,,LANMLR17B093,PV1,BATCH4,56,51,684623,9585548,10136,146618,NA,5160,125947,80313,5089,15276,479930,104015,25492,89972,20447,41238,67410,580100,1401135,1400635,42476,NA,126764,61427,34047,695866,659265,492020,1398862,20037,2353212,NA,NA,17978,36273,20892,NA,NA,NA,473404,3509,NA,5760,NA,23874,NA,NA,NA,NA,14217,39234,NA,NA,NA,NA,NA,22890,40785,441570,542689,214841,NA,6390,10376,105514,167837,1139792,1534518,NA
363,RS16-3352,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3352,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B093,,,15H365,,LANMLR17B093,PV2,BATCH4,56,49,2522409,8201413,1758,81683,NA,1144,40600,43882,7518,42395,1430598,998016,10572,28407,1375,9868,42236,106188,1546918,1527999,15880,NA,57125,37653,11669,163958,159753,317200,1210178,NA,2936808,NA,NA,9788,3965,3873,NA,NA,NA,95133,15719,NA,4570,NA,26389,NA,NA,NA,NA,190392,176855,NA,NA,NA,NA,NA,216429,312269,378851,429467,295763,NA,56268,120815,356702,193102,367439,1295270,NA
434,RS16-3572,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3572,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK3,LANMLR17B093,,,15H365,,LANMLR17B093,PV3,BATCH3,56,NA,4773349,11762691,NA,NA,10922,11192,10032,95215,32672,58195,1849561,2737706,17622,65460,2957,16358,49926,291355,3916213,2747301,28652,9104,39850,53944,23346,316178,238450,345951,1143822,NA,2312347,NA,18763,23341,NA,25619,NA,NA,76132,407249,NA,NA,NA,NA,20591,12296,NA,NA,11482,193748,151206,41402,11166,15053,NA,74828,414929,442505,831043,1232164,NA,23838,80971,252313,374780,416559,NA,NA,10144
73,RS16-2101,,MT2016,MT,19.2,-99.5,2582,RS,2016,2101,NA,4/5/16,-99.54761539,19.2245836,-99.54758631,19.22458421,-99.54760085,19.22458391,,B73xPT,E,BLOCK1,LANMLR17B094,,IS2015,15H366,PSIB,LANMLR17B094,MT1,BATCH1,120,118,7162313,10165827,NA,NA,NA,NA,NA,79011,NA,78185,4583725,2421392,NA,17013,10580,15555,15300,120283,3617209,2005255,21651,NA,34795,24058,8908,174274,201489,146133,1674990,NA,2000580,17240,17262,10936,5868,9858,NA,16590,NA,318915,4243,6772,NA,NA,6179,5660,2707,NA,11587,110203,74101,20886,NA,7409,2715,36982,50472,24842,NA,NA,7171,NA,14096,48525,101203,NA,NA,NA,NA
130,RS16-2364,,MT2016,MT,19.2,-99.5,2582,RS,2016,2364,NA,4/5/16,-99.54736268,19.22463669,-99.54733369,19.22463731,-99.54734819,19.224637,,B73xPT,E,BLOCK2,LANMLR17B094,,IS2015,15H366,PSIB,LANMLR17B094,MT2,BATCH1,126,119,5152216,11241754,NA,NA,NA,NA,NA,93746,NA,100276,4252892,705302,NA,156874,30560,8998,NA,321565,3713918,1945212,22432,NA,49840,47626,63685,159631,229475,129567,2183381,NA,2033294,21065,28066,13216,7364,24816,NA,51169,NA,278734,NA,109392,NA,NA,74515,4146,3595,NA,64330,22675,144922,87906,NA,40578,84359,5998,59475,91768,NA,NA,46843,NA,15095,34382,108519,243333,NA,NA,NA
212,RS16-2606,,MT2016,MT,19.2,-99.5,2582,RS,2016,2606,NA,4/5/16,-99.54714641,19.22449788,-99.54711714,19.22449849,-99.54713177,19.22449819,,B73xPT,E,BLOCK3,LANMLR17B094,,IS2015,15H366,,LANMLR17B094,MT3,BATCH2,125,123,3245598,9413284,NA,17157,NA,NA,11329,122551,10926,141231,2483669,487221,4890,33439,9722,21566,22237,184263,3257030,1369823,15149,NA,52240,17443,10083,198360,358913,164352,1863345,NA,1812695,NA,NA,4767,NA,2285,NA,10682,NA,139566,1527,NA,NA,472,364,NA,NA,367,NA,486,699,335,242,504,NA,NA,550,512,2158,3722,1576,NA,NA,273,233,1124,NA,NA,58
