,ROW_ID,PLANT_ID,FIELD,LOCATION,LAT,LON,ELE,SERIES,YEAR,ROW_NUM,PLANT_NUM,PLANTED,X1,Y1,X2,Y2,X_MID,Y_MID,CROSS,PANEL,TYPE,BLOCK,GENOTYPE,geno_pla,STOCK_FIELD,MUM_STOCK,DAD_STOCK,MUM_GEN,BLOCK_FIELD,lipid_batch_number,DTS,DTA,LPCs,PCs,CE_20_3,DG_34_2,DG_36_2,DG_36_3,DG_36_4,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_16_0__9_0_CHO,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_35_3,PC36_1,PC_36_2,PC_36_3_A,PC_36_3_B,PC_36_4_A,PC_36_4_C,PC_36_5_A,PC_36_5_B,PC_37_3,PC_38_2,PC_38_3_K,PC_38_5_A,PC_p_34_2__PC_o_34_3,PC_p_36_3__PC_o_36_4,PC_p_36_4__PC_o_36_5,PE_34_2,SM_d32_1,SM_d36_1,TG_46_0,TG_46_3,TG_48_0,TG_48_1,TG_48_2,TG_48_3,TG_50_0,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_0,TG_52_1,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_1,TG_54_2,TG_54_3,TG_54_4,TG_54_5,TG_54_6,TG_54_8,TG_56_4
147,RS16-2382,,MT2016,MT,19.2,-99.5,2582,RS,2016,2382,NA,4/5/16,-99.54735981,19.22451392,-99.54733057,19.22451453,-99.54734519,19.22451422,,B73xPT,E,BLOCK2,LANMLR17B039,,IS2015,15H328,PSIB,LANMLR17B039,MT2,BATCH4,128,126,1887849,11310034,23981,106657,NA,3564,85528,85602,14828,138818,1490131,158470,8748,22720,3041,13208,42857,172949,NA,2192477,28187,NA,77920,66007,18905,136709,470784,176167,2810743,11253,5015439,NA,NA,10886,13185,17849,NA,NA,NA,212973,9429,NA,5308,NA,4381,NA,NA,NA,NA,7917,15710,NA,NA,NA,NA,NA,11936,20234,116500,178486,94024,NA,2568,7714,25429,61757,181466,354370,NA
296,RS16-3121,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3121,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B039,,,15H328,,LANMLR17B039,PV1,BATCH4,57,49,990730,11152718,25700,127275,NA,6723,122020,90002,6192,86675,663947,143914,13835,49701,18002,29916,125439,1087578,1477271,1473546,31383,NA,105074,55367,78232,705303,1091704,436648,1471388,37591,2773969,NA,NA,12390,58877,19504,NA,NA,NA,178583,1085,NA,2441,NA,19413,NA,NA,NA,NA,9333,22947,NA,NA,NA,NA,NA,17333,52846,262849,275547,105643,NA,3431,17575,142852,291681,751988,908776,NA
336,RS16-3322,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3322,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B039,,,15H328,,LANMLR17B039,PV2,BATCH4,57,50,3040109,9513424,15606,71898,NA,4798,48015,35279,6755,79882,1756786,1161407,9758,30195,4265,11242,74560,357370,NA,2258312,24234,NA,41189,34640,30549,193231,411850,373562,1364395,15029,4250726,NA,NA,8756,7630,11931,NA,NA,NA,263407,7808,NA,2343,NA,1523,NA,NA,NA,NA,13416,27694,NA,NA,NA,NA,NA,13051,31834,230039,415936,220658,NA,3705,8223,36578,126971,343967,1097123,NA
408,RS16-3536,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3536,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK3,LANMLR17B039,,,15H328,,LANMLR17B039,PV3,BATCH4,54,52,3203773,6726816,30338,91297,NA,2754,71726,52251,10530,257320,1411259,1472413,10234,41803,2864,6578,54337,300976,1404460,1269197,19229,NA,45944,38707,26670,183737,327483,293528,860427,NA,1815474,NA,NA,9182,2538,13448,NA,NA,NA,185974,11252,NA,12469,NA,27182,NA,NA,NA,NA,54671,88997,NA,NA,NA,NA,NA,160813,201311,488466,718225,452765,NA,52251,125188,359854,287281,629645,1503678,NA
144,RS16-2379,,MT2016,MT,19.2,-99.5,2582,RS,2016,2379,NA,4/5/16,-99.54736029,19.22453438,-99.54733109,19.22453499,-99.54734569,19.22453468,,B73xPT,E,BLOCK2,LANMLR17B040,,IS2015,15H329,PSIB,LANMLR17B040,MT2,BATCH1,134,138,439233,17418705,NA,NA,NA,NA,NA,184328,NA,10269,201521,43115,NA,25264,12841,25461,23665,333243,6020545,2686175,40646,NA,61456,129102,21047,401247,510981,281231,3179279,NA,3527621,22208,63073,17991,10802,21502,NA,3325,NA,151107,2690,7441,NA,NA,1900,2414,2706,NA,6622,12895,8352,3233,NA,9361,1217,11411,18187,5480,NA,NA,1105,NA,9625,19419,52992,NA,NA,NA,NA
294,RS16-3119,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3119,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B040,,,15H329,,LANMLR17B040,PV1,BATCH4,56,55,110225,10456032,25898,155910,NA,5785,125130,49252,3415,2350,47056,8152,1989,71275,21856,34118,86706,581696,1685790,1644950,53310,NA,116883,52001,36110,631827,579247,371024,1646129,16549,2735107,NA,NA,12740,43180,33545,NA,NA,NA,784869,2268,NA,2349,NA,26242,NA,NA,NA,NA,12669,34480,NA,NA,NA,NA,NA,21471,48922,350429,326313,101870,NA,5593,16526,142519,322643,1167971,1142536,NA
360,RS16-3348,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3348,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B040,,,15H329,,LANMLR17B040,PV2,BATCH4,56,54,288953,10769017,31953,124238,NA,4032,101274,138067,6954,2073,92654,49205,7207,59720,13049,24676,91503,441025,1724867,1724922,61354,NA,86716,86445,23526,522823,391285,585358,1568425,16848,3268869,NA,NA,14115,18838,37446,NA,NA,NA,728984,8867,NA,13082,NA,117385,NA,NA,NA,NA,14523,35595,NA,NA,NA,NA,NA,19917,20030,246053,441048,285509,NA,6770,7847,54303,96641,517253,1477875,NA
406,RS16-3533,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3533,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK3,LANMLR17B040,,,15H329,,LANMLR17B040,PV3,BATCH1,58,56,376443,16919299,NA,NA,NA,NA,NA,128025,NA,6213,183776,58429,NA,64805,14215,20581,84806,588969,6330105,3209522,46038,NA,96194,59605,33007,576472,460793,379696,2051409,NA,2810922,20331,17171,16459,12005,24568,NA,1626,NA,446408,NA,3102,NA,NA,5525,4092,3893,NA,4271,13656,41568,19627,NA,5754,6964,6906,21658,47061,NA,NA,14712,NA,5635,14534,53389,167761,NA,NA,NA
104,RS16-2320,,MT2016,MT,19.2,-99.5,2582,RS,2016,2320,NA,4/5/16,-99.54739968,19.22438344,-99.54737019,19.22438404,-99.54738493,19.22438374,,B73xPT,E,BLOCK2,LANMLR17B041,,IS2015,15H330,PSIB,LANMLR17B041,MT2,BATCH1,134,135,233575,17051888,NA,NA,NA,NA,NA,53203,NA,3731,136730,39911,NA,28392,32374,30999,69904,359750,4951520,2660937,40817,NA,109245,78562,22222,598819,523462,496687,2710008,NA,4211218,27803,39136,21081,16006,21529,NA,1417,NA,436896,NA,1774,NA,NA,4044,3449,3071,NA,2982,22791,60432,48921,NA,5984,6131,20804,50759,61439,NA,NA,11216,NA,29965,34521,67624,113022,NA,NA,NA
215,RS16-2614,,MT2016,MT,19.2,-99.5,2582,RS,2016,2614,NA,4/5/16,-99.54714848,19.22455247,-99.54711932,19.22455308,-99.5471339,19.22455277,,B73xPT,E,BLOCK3,LANMLR17B041,,IS2015,15H330,,LANMLR17B041,MT3,BATCH1,133,134,390188,16520620,NA,NA,NA,NA,NA,93760,NA,7436,207898,81094,NA,26530,32411,28665,25395,488075,5014475,2885467,52590,NA,50818,42604,21236,489298,302413,322380,2377707,NA,4219393,29883,34612,12601,17270,36471,NA,10326,NA,176158,NA,2783,NA,NA,8447,5394,6867,NA,4860,17014,180116,125778,NA,17935,7656,6440,56287,173087,NA,NA,20407,NA,16680,32192,134223,358258,NA,NA,NA
