ZmLpcat1,samp,experiment,plate,well,barcode,tube_num_full,tube_num,tissue_key,tissue,ID,temp_tx,fertilizer_tx,tray,pot,line,source,tissue_stage,date_planted,emergence_date,unique_id,harvest_date,genotype,inv4m_genotype,uniqueID,file,Filename,fastqc,Total_Sequences,plant,NEWID,new_line,new_inv4m_genotype,full_geno,group,inv_temp,fert_temp,fert_temp_geno
6.044644088,GC73_P4_ILLSINHA49,gc73,4,H7,ILLSINHA49,247.1,247,1,V3_Primary_root,gc73340,cold,low,9,8,PT,,V3,4/21/17,4/28/17,cold_9_8_V3,5/12/17,PT,Inv4m,gc73340_1,GC73_P4_ILLSINHA49_1.fq.gz,GC73_P4_ILLSINHA49_1.fq.gz,pass,4890020,gc73_4_cold_low_9_8_V3,gc73_4_cold_low_9_8_V3_V3_Primary_root,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,low_cold,low_cold_PT
6.060767797,GC73_P4_ILLSINHA50,gc73,4,G7,ILLSINHA50,293.1,293,1,V3_Primary_root,gc73342,cold,low,9,9,B73,,V3,4/21/17,4/30/17,cold_9_9_V3,5/15/17,B73,B73,gc73342_1,GC73_P4_ILLSINHA50_1.fq.gz,GC73_P4_ILLSINHA50_1.fq.gz,pass,10188909,gc73_4_cold_low_9_9_V3,gc73_4_cold_low_9_9_V3_V3_Primary_root,,B73,B73_,cold_NA_B73,B73_cold,low_cold,low_cold_B73
6.00007687,GC73_P4_ILLSINHA51,gc73,4,F7,ILLSINHA51,290.1,290,1,V3_Primary_root,gc73332,cold,low,9,4,F1,,V3,4/21/17,4/28/17,cold_9_4_V3,5/15/17,F1,H,gc73332_1,GC73_P4_ILLSINHA51_1.fq.gz,GC73_P4_ILLSINHA51_1.fq.gz,pass,3199057,gc73_4_cold_low_9_4_V3,gc73_4_cold_low_9_4_V3_V3_Primary_root,,H,F1_,cold_NA_H,H_cold,low_cold,low_cold_F1
6.75285467,GC73_P4_ILLSINHA90,gc73,4,G12,ILLSINHA90,296,296,0,V3_Leaf_tissue,gc73226,cold,high,3,5,B73,,V3,4/21/17,4/28/17,cold_3_5_V3,5/16/17,B73,B73,gc73226_0,GC73_P4_ILLSINHA90_1.fq.gz,GC73_P4_ILLSINHA90_1.fq.gz,pass,2975960,gc73_4_cold_high_3_5_V3,gc73_4_cold_high_3_5_V3_V3_Leaf_tissue,,B73,B73_,cold_NA_B73,B73_cold,high_cold,high_cold_B73
5.853273538,GC73_P4_ILLSINHA91,gc73,4,F12,ILLSINHA91,248.1,248,1,V3_Primary_root,gc73190,cold,high,1,5,PT,,V3,4/21/17,4/27/17,cold_1_5_V3,5/12/17,PT,Inv4m,gc73190_1,GC73_P4_ILLSINHA91_1.fq.gz,GC73_P4_ILLSINHA91_1.fq.gz,pass,7546944,gc73_4_cold_high_1_5_V3,gc73_4_cold_high_1_5_V3_V3_Primary_root,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,high_cold,high_cold_PT
6.445836855,GC73_P4_ILLSINHA92,gc73,4,E12,ILLSINHA92,242.1,242,1,V3_Primary_root,gc73212,cold,high,2,7,F1,,V3,4/21/17,4/28/17,cold_2_7_V3,5/12/17,F1,H,gc73212_1,GC73_P4_ILLSINHA92_1.fq.gz,GC73_P4_ILLSINHA92_1.fq.gz,pass,5228851,gc73_4_cold_high_2_7_V3,gc73_4_cold_high_2_7_V3_V3_Primary_root,,H,F1_,cold_NA_H,H_cold,high_cold,high_cold_F1
6.333526001,GC73_P4_ILLSINHA93,gc73,4,D12,ILLSINHA93,296.1,296,1,V3_Primary_root,gc73226,cold,high,3,5,B73,,V3,4/21/17,4/28/17,cold_3_5_V3,5/16/17,B73,B73,gc73226_1,GC73_P4_ILLSINHA93_1.fq.gz,GC73_P4_ILLSINHA93_1.fq.gz,pass,6927219,gc73_4_cold_high_3_5_V3,gc73_4_cold_high_3_5_V3_V3_Primary_root,,B73,B73_,cold_NA_B73,B73_cold,high_cold,high_cold_B73
5.031695928,GC73_P4_ILLSINHA94,gc73,4,C12,ILLSINHA94,290,290,0,V3_Leaf_tissue,gc73332,cold,low,9,4,F1,,V3,4/21/17,4/28/17,cold_9_4_V3,5/15/17,F1,H,gc73332_0,GC73_P4_ILLSINHA94_1.fq.gz,GC73_P4_ILLSINHA94_1.fq.gz,pass,1103460,gc73_4_cold_low_9_4_V3,gc73_4_cold_low_9_4_V3_V3_Leaf_tissue,,H,F1_,cold_NA_H,H_cold,low_cold,low_cold_F1
6.015455369,GC73_P4_ILLSINHA95,gc73,4,B12,ILLSINHA95,247,247,0,V3_Leaf_tissue,gc73340,cold,low,9,8,PT,,V3,4/21/17,4/28/17,cold_9_8_V3,5/12/17,PT,Inv4m,gc73340_0,GC73_P4_ILLSINHA95_1.fq.gz,GC73_P4_ILLSINHA95_1.fq.gz,pass,2244024,gc73_4_cold_low_9_8_V3,gc73_4_cold_low_9_8_V3_V3_Leaf_tissue,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,low_cold,low_cold_PT
6.043974089,GC73_P4_ILLSINHA96,gc73,4,A12,ILLSINHA96,293,293,0,V3_Leaf_tissue,gc73342,cold,low,9,9,B73,,V3,4/21/17,4/30/17,cold_9_9_V3,5/15/17,B73,B73,gc73342_0,GC73_P4_ILLSINHA96_1.fq.gz,GC73_P4_ILLSINHA96_1.fq.gz,pass,292612,gc73_4_cold_low_9_9_V3,gc73_4_cold_low_9_9_V3_V3_Leaf_tissue,,B73,B73_,cold_NA_B73,B73_cold,low_cold,low_cold_B73
