Zm00001d039542,Zm00001d017584,samp,experiment,plate,well,barcode,tube_num_full,tube_num,tissue_key,tissue,ID,temp_tx,fertilizer_tx,tray,pot,line,source,tissue_stage,date_planted,emergence_date,unique_id,harvest_date,genotype,inv4m_genotype,uniqueID,file,Filename,fastqc,Total_Sequences,plant,NEWID,new_line,new_inv4m_genotype,full_geno,group,inv_temp,fert_temp,fert_temp_geno
2.79094431307824,5.14153779297716,GC72_P3_ILLSINHA8,gc72,3,A1,ILLSINHA8,144,144,0,V3_Leaf_tissue,gc72180,warm,low,10,9,PT,,V3,3/2/2017,3/6/2017,warm_10_9_V3,3/14/2017,PT,Inv4m,gc72180_0,GC72_P3_ILLSINHA8_1.fq.gz,GC72_P3_ILLSINHA8_1.fq.gz,pass,3566139,gc72_3_warm_low_10_9_V3,gc72_3_warm_low_10_9_V3_V3_Leaf_tissue,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,low_warm,low_warm_PT
4.22187605985148,5.65934699043036,GC72_P3_ILLSINHA9,gc72,3,H2,ILLSINHA9,118,118,0,V3_Leaf_tissue,gc72162,warm,low,9,9,B73,,V3,3/2/2017,3/6/2017,warm_9_9_V3,3/14/2017,B73,B73,gc72162_0,GC72_P3_ILLSINHA9_1.fq.gz,GC72_P3_ILLSINHA9_1.fq.gz,pass,3966526,gc72_3_warm_low_9_9_V3,gc72_3_warm_low_9_9_V3_V3_Leaf_tissue,,B73,B73_,warm_NA_B73,B73_warm,low_warm,low_warm_B73
-0.0670908507910955,5.90530189800935,GC72_P3_ILLSINHA10,gc72,3,G2,ILLSINHA10,144.1,144,1,V3_Primary_root,gc72180,warm,low,10,9,PT,,V3,3/2/2017,3/6/2017,warm_10_9_V3,3/14/2017,PT,Inv4m,gc72180_1,GC72_P3_ILLSINHA10_1.fq.gz,GC72_P3_ILLSINHA10_1.fq.gz,pass,4999385,gc72_3_warm_low_10_9_V3,gc72_3_warm_low_10_9_V3_V3_Primary_root,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,low_warm,low_warm_PT
0.121483236398035,5.97604016430238,GC72_P3_ILLSINHA11,gc72,3,F2,ILLSINHA11,114.1,114,1,V3_Primary_root,gc72150,warm,low,9,3,F1,,V3,3/2/2017,3/4/2017,warm_9_3_V3,3/14/2017,F1,H,gc72150_1,GC72_P3_ILLSINHA11_1.fq.gz,GC72_P3_ILLSINHA11_1.fq.gz,pass,2886473,gc72_3_warm_low_9_3_V3,gc72_3_warm_low_9_3_V3_V3_Primary_root,,H,F1_,warm_NA_H,H_warm,low_warm,low_warm_F1
0.134258165136051,6.80926500331193,GC72_P3_ILLSINHA12,gc72,3,E2,ILLSINHA12,118.1,118,1,V3_Primary_root,gc72162,warm,low,9,9,B73,,V3,3/2/2017,3/6/2017,warm_9_9_V3,3/14/2017,B73,B73,gc72162_1,GC72_P3_ILLSINHA12_1.fq.gz,GC72_P3_ILLSINHA12_1.fq.gz,pass,2047187,gc72_3_warm_low_9_9_V3,gc72_3_warm_low_9_9_V3_V3_Primary_root,,B73,B73_,warm_NA_B73,B73_warm,low_warm,low_warm_B73
4.43803930531769,6.10478904281827,GC72_P3_ILLSINHA53,gc72,3,D7,ILLSINHA53,235,235,0,V3_Leaf_tissue,gc72212,cold,high,2,7,B73,,V3,3/2/2017,3/13/2017,cold_2_7_V3,3/24/2017,B73,B73,gc72212_0,GC72_P3_ILLSINHA53_1.fq.gz,GC72_P3_ILLSINHA53_1.fq.gz,pass,4520048,gc72_3_cold_high_2_7_V3,gc72_3_cold_high_2_7_V3_V3_Leaf_tissue,,B73,B73_,cold_NA_B73,B73_cold,high_cold,high_cold_B73
3.88060378801388,5.76553719300228,GC72_P3_ILLSINHA54,gc72,3,C7,ILLSINHA54,221,221,0,V3_Leaf_tissue,gc72242,cold,high,4,4,F1,,V3,3/2/2017,3/8/2017,cold_4_4_V3,3/23/2017,F1,H,gc72242_0,GC72_P3_ILLSINHA54_1.fq.gz,GC72_P3_ILLSINHA54_1.fq.gz,pass,1676439,gc72_3_cold_high_4_4_V3,gc72_3_cold_high_4_4_V3_V3_Leaf_tissue,,H,F1_,cold_NA_H,H_cold,high_cold,high_cold_F1
4.74076331024098,6.0951785010923,GC72_P3_ILLSINHA55,gc72,3,B7,ILLSINHA55,219,219,0,V3_Leaf_tissue,gc72258,cold,high,5,3,PT,,V3,3/2/2017,3/8/2017,cold_5_3_V3,3/23/2017,PT,Inv4m,gc72258_0,GC72_P3_ILLSINHA55_1.fq.gz,GC72_P3_ILLSINHA55_1.fq.gz,pass,2650503,gc72_3_cold_high_5_3_V3,gc72_3_cold_high_5_3_V3_V3_Leaf_tissue,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,high_cold,high_cold_PT
-1.70831525951292,6.94479897281412,GC72_P3_ILLSINHA56,gc72,3,A7,ILLSINHA56,219.1,219,1,V3_Primary_root,gc72258,cold,high,5,3,PT,,V3,3/2/2017,3/8/2017,cold_5_3_V3,3/23/2017,PT,Inv4m,gc72258_1,GC72_P3_ILLSINHA56_1.fq.gz,GC72_P3_ILLSINHA56_1.fq.gz,pass,2588564,gc72_3_cold_high_5_3_V3,gc72_3_cold_high_5_3_V3_V3_Primary_root,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,high_cold,high_cold_PT
-2.46867030008856,6.74119019051043,GC72_P3_ILLSINHA57,gc72,3,H8,ILLSINHA57,235.1,235,1,V3_Primary_root,gc72212,cold,high,2,7,B73,,V3,3/2/2017,3/13/2017,cold_2_7_V3,3/24/2017,B73,B73,gc72212_1,GC72_P3_ILLSINHA57_1.fq.gz,GC72_P3_ILLSINHA57_1.fq.gz,pass,5078326,gc72_3_cold_high_2_7_V3,gc72_3_cold_high_2_7_V3_V3_Primary_root,,B73,B73_,cold_NA_B73,B73_cold,high_cold,high_cold_B73
-2.60964109004952,5.89489843912664,GC72_P3_ILLSINHA58,gc72,3,G8,ILLSINHA58,221.1,221,1,V3_Primary_root,gc72242,cold,high,4,4,F1,,V3,3/2/2017,3/8/2017,cold_4_4_V3,3/23/2017,F1,H,gc72242_1,GC72_P3_ILLSINHA58_1.fq.gz,GC72_P3_ILLSINHA58_1.fq.gz,pass,4390333,gc72_3_cold_high_4_4_V3,gc72_3_cold_high_4_4_V3_V3_Primary_root,,H,F1_,cold_NA_H,H_cold,high_cold,high_cold_F1
3.44445290036362,5.09805726180727,GC72_P3_ILLSINHA59,gc72,3,F8,ILLSINHA59,224,224,0,V3_Leaf_tissue,gc72344,cold,low,10,1,F1,,V3,3/2/2017,3/9/2017,cold_10_1_V3,3/23/2017,F1,H,gc72344_0,GC72_P3_ILLSINHA59_1.fq.gz,GC72_P3_ILLSINHA59_1.fq.gz,pass,1690383,gc72_3_cold_low_10_1_V3,gc72_3_cold_low_10_1_V3_V3_Leaf_tissue,,H,F1_,cold_NA_H,H_cold,low_cold,low_cold_F1
