numinSet,sample,geno,geno-id,group,Run,fullnum,ICP.run,WR.run,ICP.runnum,run.date,SampleWeight,Li7,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
15,RS18-141.4,CACAHU,CIMMYTMA-007571,mexico,17,17,1,1,17,00:46:49 Fri 20-Jul-18,81,0.034609061,47.38643317,72.01699267,1693.592183,29.02878345,2447.110855,1574.418152,17586.85941,5420.316558,151.300589,88.68050059,0.036189843,0.068502023,13.93360876,26.80744222,0.350212565,0.060095107,6.010083662,36.11752644,2.366589301,0.082934803
16,RS18-148.3,GRANAD,CIMMYTMA-012831,peru,18,18,1,1,18,00:50:51 Fri 20-Jul-18,59.3,-0.002846976,48.97956908,42.12457051,994.4555769,12.7962601,2860.436696,846.2433946,23853.47281,3337.126255,98.11866879,89.75119127,0.042296507,0.057070517,9.133387148,24.43740671,0.11346285,0.0900189,10.75371186,24.18315889,1.459996452,0.017282466
17,RS18-142.2,ARROAM,CIMMYTMA-020943,mexico,19,19,1,1,19,00:54:53 Fri 20-Jul-18,75.4,0.173388345,46.83175792,50.265064,2254.472117,31.68418443,2765.815995,1838.221412,21377.06628,10171.3931,138.0730439,81.12917312,0.215374868,0.176363255,11.50377424,120.5867981,0.303541467,0.105989807,7.165828602,23.77030016,3.079374485,0.123593877
19,RS18-B73.3,B73,B73,B73,22,22,1,1,22,01:07:01 Fri 20-Jul-18,76,-0.003901761,94.41332409,23.80068354,2324.16767,13.61582926,1754.501532,1755.302525,18063.14839,5887.351345,90.92731727,40.99484347,0.018699116,0.174083315,11.98327901,21.93150854,0.102537957,0.05634394,4.489956594,28.32419571,1.616963229,0.005090639
21,RS18-147.1,SNJERO,CIMMYTMA-024936,peru,24,24,1,1,24,01:15:04 Fri 20-Jul-18,75.9,0.036638098,52.62581363,33.34967507,2501.383803,17.40354204,2320.492789,1593.269304,15953.68982,5060.392188,98.35910279,71.66290572,0.040350867,0.068840198,8.659229392,37.06949418,0.140732732,0.070910824,7.64700079,31.3823009,2.052798664,0.018223434
22,RS18-149.2,HUANCA,CIMMYTMA-012807,peru,25,25,1,1,25,01:19:06 Fri 20-Jul-18,88.5,0.090142706,66.88001812,60.86976342,1734.029179,19.07669616,1739.071401,1101.653736,20863.83889,8427.835203,98.69860592,72.43150531,0.103530892,0.087313268,6.727523677,77.64836756,0.375664655,0.076626591,4.966050526,39.61778538,1.96171181,0.03020217
23,RS18-147.2,SNJERO,CIMMYTMA-024936,peru,26,26,1,1,26,01:23:08 Fri 20-Jul-18,68.4,0.122840661,67.2751584,89.31181349,1898.646887,36.94528919,2782.09575,1241.001152,21255.36987,10132.41795,121.2655108,74.19792583,0.181051356,0.30602491,14.47668393,102.7643608,0.206138023,0.076821146,11.36765517,21.94770954,1.549299727,0.015124689
26,RS18-145.2,AZUL,CIMMYTMA-016091,mexico,39,39,1,1,39,02:15:32 Fri 20-Jul-18,76.9,0.013484234,101.1845362,54.89294996,2825.84481,19.56726357,2104.742209,2268.159924,19873.32332,4641.622159,118.9853606,95.77026539,0.036823553,0.052188014,8.901307817,20.62385988,0.168469869,0.091159132,8.227016461,31.9433512,1.85642223,0.237122107
28,RS18-143.4,PALOME,CIMMYTMA-002233,mexico,37,37,1,1,37,02:07:29 Fri 20-Jul-18,93.1,0.04345041,36.77165642,35.64451012,2150.942313,21.48249718,2383.179058,1996.191942,19903.68419,7361.204423,141.4760769,154.393126,0.038381761,0.117106989,10.62469022,25.33451501,0.285713608,0.076033939,6.098414627,43.59379633,2.32940401,0.180916602
29,RS18-141.5,CACAHU,CIMMYTMA-007571,mexico,36,36,1,1,36,02:03:28 Fri 20-Jul-18,76.5,0.076420285,50.16344269,63.41808824,1786.967504,32.15430138,2004.091213,3540.10592,18313.24793,5931.913871,206.7777891,94.52349378,0.065553927,0.289956127,10.26749003,62.39753183,0.347501542,0.101150181,5.244983959,30.25592861,3.692064655,0.151647356
30,RS18-146.3,CPUNTI,CIMMYTMA-018249,peru,35,35,1,1,35,01:59:26 Fri 20-Jul-18,78.6,0.020994603,72.02605266,27.33862769,1897.938277,21.28726314,1427.752509,1048.10264,17654.05301,3593.507855,98.25247729,92.72401828,0.024737695,0.05285311,12.6056407,22.03237084,0.111669591,0.055449736,10.86309485,23.41355911,1.571718286,0.014380402
31,RS18-146.5,CPUNTI,CIMMYTMA-018249,peru,34,34,1,1,34,01:55:24 Fri 20-Jul-18,58.2,0.240705507,53.74985265,49.77539648,2260.868332,13.92998408,1690.67682,307.8094473,20376.88757,11697.26289,90.85125341,96.21774154,0.178665974,0.133216807,10.44249453,160.0125559,0.367071366,0.08287034,7.752545158,36.09434648,1.806593895,0.023084501
