sample_id	accn_GID	testcross_GID
SEEDGWAS1309	11812	242380
SEEDGWAS131	9512	241201
SEEDGWAS1310	11817	242381
SEEDGWAS1311	11821	242382
SEEDGWAS1312	11827	242383
SEEDGWAS1313	11828	242384
SEEDGWAS1316	11835	242387
SEEDGWAS1317	11904	242388
SEEDGWAS132	9522	241202
SEEDGWAS1320	11988	242391
SEEDGWAS1321	11993	242392
SEEDGWAS1322	11995	242393
SEEDGWAS1323	11997	242394
SEEDGWAS1324	11999	242395
SEEDGWAS1325	12001	242396
SEEDGWAS1326	12002	242397
SEEDGWAS1327	12008	242398
SEEDGWAS1329	12019	242400
SEEDGWAS133	9545	241203
SEEDGWAS1330	12048	242401
SEEDGWAS1332	12087	242403
SEEDGWAS1333	12090	242404
SEEDGWAS1334	12184	242405
SEEDGWAS1335	12332	242406
SEEDGWAS1336	12337	242407
SEEDGWAS1337	12338	242408
SEEDGWAS1338	12350	242409
SEEDGWAS134	9570	241204
SEEDGWAS1340	12355	242411
SEEDGWAS1342	12363	242413
SEEDGWAS1344	12389	242415
SEEDGWAS1346	12462	242417
SEEDGWAS1347	12464	242418
SEEDGWAS1348	12472	242419
SEEDGWAS1349	12479	242420
SEEDGWAS135	9603	241205
SEEDGWAS1350	12491	242421
SEEDGWAS1351	12492	242422
SEEDGWAS1352	12500	242423
SEEDGWAS1353	12518	242424
SEEDGWAS1355	12527	242426
SEEDGWAS1356	12539	242427
SEEDGWAS1357	12546	242428
SEEDGWAS1358	12553	242429
SEEDGWAS1359	12562	242430
SEEDGWAS136	9611	241206
SEEDGWAS1360	12565	242431
SEEDGWAS1361	12596	242432
SEEDGWAS1362	12600	242433
SEEDGWAS1363	12603	242434
SEEDGWAS1364	12604	242435
SEEDGWAS1365	12627	242436
SEEDGWAS1366	12736	242437
SEEDGWAS1367	12737	242438
SEEDGWAS1368	12753	242439
SEEDGWAS1369	12763	242440
SEEDGWAS137	9613	241207
SEEDGWAS1370	12769	242441
SEEDGWAS1371	12771	242442
SEEDGWAS1372	12781	242443
SEEDGWAS1373	12848	242444
SEEDGWAS1374	12862	242445
SEEDGWAS1375	12864	242446
SEEDGWAS1376	12891	242447
SEEDGWAS1377	12913	242448
SEEDGWAS1378	12914	242449
SEEDGWAS1379	12916	242450
SEEDGWAS138	9676	241208
SEEDGWAS1380	12921	242451
SEEDGWAS1381	12945	242452
SEEDGWAS1383	12974	242454
SEEDGWAS1384	12980	242455
SEEDGWAS1385	12981	242456
SEEDGWAS1386	12985	242457
SEEDGWAS1387	12987	242458
SEEDGWAS1388	13016	242459
SEEDGWAS1389	13018	242460
SEEDGWAS139	9773	241209
SEEDGWAS1390	13023	242461
SEEDGWAS1391	13034	242462
SEEDGWAS1392	13041	242463
SEEDGWAS1393	13070	242464
SEEDGWAS1394	13074	242465
SEEDGWAS1395	13087	242466
SEEDGWAS1398	13109	242469
SEEDGWAS14	5529	241084
SEEDGWAS1400	13123	242471
SEEDGWAS1401	13129	242472
SEEDGWAS1402	13130	242473
SEEDGWAS1403	13131	242474
SEEDGWAS1404	13132	242475
SEEDGWAS1406	13896	242477
SEEDGWAS1407	14172	242478
SEEDGWAS1408	14750	242479
SEEDGWAS1409	14776	242480
SEEDGWAS141	9801	241211
SEEDGWAS1410	14787	242481
SEEDGWAS1411	14888	242482
SEEDGWAS1412	14958	242483
SEEDGWAS1413	14979	242484
SEEDGWAS1414	15007	242485
SEEDGWAS1415	15019	242486
SEEDGWAS1416	15164	242487
SEEDGWAS1417	15170	242488
SEEDGWAS1418	15202	242489
SEEDGWAS142	9803	241212
SEEDGWAS1421	15280	242492
SEEDGWAS1422	15337	242493
SEEDGWAS1423	15340	242494
SEEDGWAS1424	15351	242495
SEEDGWAS1425	15409	242496
SEEDGWAS1427	15438	242498
SEEDGWAS1428	15463	242499
SEEDGWAS1429	15822	242500
SEEDGWAS143	9806	241213
SEEDGWAS1430	15920	242501
SEEDGWAS1431	15947	242502
SEEDGWAS1432	15955	242503
SEEDGWAS1434	15971	242505
SEEDGWAS1435	15974	242506
SEEDGWAS1436	16013	242507
SEEDGWAS1437	16021	242508
SEEDGWAS1438	16055	242509
SEEDGWAS1439	16058	242510
SEEDGWAS144	10321	241214
SEEDGWAS1440	16061	242511
SEEDGWAS1441	16062	242512
SEEDGWAS1442	16488	242513
SEEDGWAS1443	16497	242514
SEEDGWAS1444	16498	242515
SEEDGWAS1445	16501	242516
SEEDGWAS1446	16515	242517
SEEDGWAS1447	16628	242518
SEEDGWAS1448	16630	242519
SEEDGWAS1449	16634	242520
SEEDGWAS145	10374	241215
SEEDGWAS1450	16640	242521
SEEDGWAS1452	16690	242523
SEEDGWAS1453	16696	242524
SEEDGWAS1455	16725	242526
SEEDGWAS1456	16729	242527
SEEDGWAS1457	16892	242528
SEEDGWAS1458	16994	242529
SEEDGWAS1459	17101	242530
SEEDGWAS1460	17202	242531
SEEDGWAS1461	17509	242532
SEEDGWAS1462	17519	242533
SEEDGWAS1463	17566	242534
SEEDGWAS1464	17567	242535
SEEDGWAS1465	19340	242536
SEEDGWAS1466	19352	242537
SEEDGWAS1467	19387	242538
SEEDGWAS1468	19573	242539
SEEDGWAS1469	19574	242540
SEEDGWAS147	10397	241217
SEEDGWAS1470	20043	242541
SEEDGWAS1472	20426	242543
SEEDGWAS1473	20437	242544
SEEDGWAS1474	20652	242545
SEEDGWAS1476	20654	242547
SEEDGWAS1477	20656	242548
SEEDGWAS1478	20661	242549
SEEDGWAS1479	20662	242550
SEEDGWAS148	10602	241218
SEEDGWAS1481	20664	242552
SEEDGWAS1482	20686	242553
SEEDGWAS1483	20687	242554
SEEDGWAS1484	20701	242555
SEEDGWAS1485	20745	242556
SEEDGWAS1486	20754	242557
SEEDGWAS1487	20841	242558
SEEDGWAS1488	20908	242559
SEEDGWAS149	10842	241219
SEEDGWAS1490	20917	242561
SEEDGWAS1492	20919	242563
SEEDGWAS1493	20941	242564
SEEDGWAS1494	20945	242565
SEEDGWAS1495	20990	242566
SEEDGWAS1496	21000	242567
SEEDGWAS1497	21291	242568
SEEDGWAS1498	21293	242569
SEEDGWAS15	5531	241085
SEEDGWAS150	10878	241220
SEEDGWAS1500	21334	242571
SEEDGWAS1501	21348	242572
SEEDGWAS1503	21376	242574
SEEDGWAS1506	22243	242577
SEEDGWAS1507	22251	242578
SEEDGWAS1508	22534	242579
SEEDGWAS151	11184	241221
SEEDGWAS1512	22817	242583
SEEDGWAS1513	22843	242584
SEEDGWAS1514	22845	242585
SEEDGWAS1516	23184	242587
SEEDGWAS1517	23188	242588
SEEDGWAS1518	23191	242589
SEEDGWAS1519	23199	242590
SEEDGWAS152	11412	241222
SEEDGWAS1520	23203	242591
SEEDGWAS1521	23205	242592
SEEDGWAS1522	23218	242593
SEEDGWAS1523	23227	242594
SEEDGWAS1526	23245	242597
SEEDGWAS1527	23247	242598
SEEDGWAS1528	23294	242599
SEEDGWAS153	11437	241223
SEEDGWAS1530	23325	242601
SEEDGWAS1532	23345	242603
SEEDGWAS1533	23356	242604
SEEDGWAS1534	23373	242605
SEEDGWAS1535	23425	242606
SEEDGWAS1536	23454	242607
SEEDGWAS1537	23462	242608
SEEDGWAS1538	23504	242609
SEEDGWAS1539	23507	242610
SEEDGWAS1540	23611	242611
SEEDGWAS1543	23878	242614
SEEDGWAS1545	23893	242616
SEEDGWAS1546	23897	242617
SEEDGWAS1549	23916	242620
SEEDGWAS155	11460	241225
SEEDGWAS1550	23925	242621
SEEDGWAS1551	23927	242622
SEEDGWAS1552	24077	242623
SEEDGWAS1553	24086	242624
SEEDGWAS1554	24090	242625
SEEDGWAS1556	24108	242627
SEEDGWAS1557	24145	242628
SEEDGWAS156	11474	241226
SEEDGWAS1560	24317	242631
SEEDGWAS1561	24385	242632
SEEDGWAS1562	24449	242633
SEEDGWAS1563	24561	242634
SEEDGWAS1564	24625	242635
SEEDGWAS1565	24629	242636
SEEDGWAS1566	24638	242637
SEEDGWAS1568	24757	242639
SEEDGWAS1569	24764	242640
SEEDGWAS157	11489	241227
SEEDGWAS1570	24772	242641
SEEDGWAS1571	24773	242642
SEEDGWAS1572	24778	242643
SEEDGWAS1573	24779	242644
SEEDGWAS1574	24784	242645
SEEDGWAS1575	24788	242646
SEEDGWAS1576	24797	242647
SEEDGWAS1577	24798	242648
SEEDGWAS1578	24807	242649
SEEDGWAS1579	24819	242650
SEEDGWAS158	11496	241228
SEEDGWAS1580	24822	242651
SEEDGWAS1581	24826	242652
SEEDGWAS1582	24849	242653
SEEDGWAS1583	24850	242654
SEEDGWAS1584	24858	242655
SEEDGWAS1585	24861	242656
SEEDGWAS1586	24863	242657
SEEDGWAS1587	24866	242658
SEEDGWAS1588	24867	242659
SEEDGWAS1589	24870	242660
SEEDGWAS1590	24875	242661
SEEDGWAS1591	24877	242662
SEEDGWAS1592	24910	242663
SEEDGWAS1593	24911	242664
SEEDGWAS1594	24915	242665
SEEDGWAS1595	24934	242666
SEEDGWAS1596	24936	242667
SEEDGWAS1598	24939	242669
SEEDGWAS1599	24964	242670
SEEDGWAS16	5552	241086
SEEDGWAS160	11501	241230
SEEDGWAS1600	24971	242671
SEEDGWAS1601	25197	242672
SEEDGWAS1602	25205	242673
SEEDGWAS1603	25218	242674
SEEDGWAS1604	25366	242675
SEEDGWAS1605	25368	242676
SEEDGWAS1607	25447	242678
SEEDGWAS1608	25458	242679
SEEDGWAS1609	25484	242680
SEEDGWAS1610	25490	242681
SEEDGWAS1611	25632	242682
SEEDGWAS1613	25654	242684
SEEDGWAS1616	25668	242687
SEEDGWAS1617	25669	242688
SEEDGWAS1619	25671	242690
SEEDGWAS162	11503	241232
SEEDGWAS1621	25731	242692
SEEDGWAS1622	25741	242693
SEEDGWAS1623	25745	242694
SEEDGWAS1626	25756	242697
SEEDGWAS1627	25792	242698
SEEDGWAS163	11506	241233
SEEDGWAS1631	25841	242702
SEEDGWAS1632	25843	242703
SEEDGWAS1633	25854	242704
SEEDGWAS1634	25859	242705
SEEDGWAS1635	25861	242706
SEEDGWAS1636	25864	242707
SEEDGWAS1638	25866	242709
SEEDGWAS1639	25884	242710
SEEDGWAS164	11510	241234
SEEDGWAS1641	25902	242712
SEEDGWAS1643	25934	242714
SEEDGWAS1644	25937	242715
SEEDGWAS1645	25939	242716
SEEDGWAS1646	25942	242717
SEEDGWAS1647	25968	242718
SEEDGWAS1648	25971	242719
SEEDGWAS1649	26110	242720
SEEDGWAS1650	26124	242721
SEEDGWAS1651	26446	242722
SEEDGWAS1652	26483	242723
SEEDGWAS1653	26484	242724
SEEDGWAS1654	26499	242725
SEEDGWAS1655	26505	242726
SEEDGWAS1656	26506	242727
SEEDGWAS1658	26516	242729
SEEDGWAS1659	26571	242730
SEEDGWAS1660	26596	242731
SEEDGWAS1661	26666	242732
SEEDGWAS1662	27001	242733
SEEDGWAS1663	27033	242734
SEEDGWAS1665	27107	242736
SEEDGWAS1666	27124	242737
SEEDGWAS1667	27125	242738
SEEDGWAS1668	27137	242739
SEEDGWAS1669	27200	242740
SEEDGWAS167	11549	241237
SEEDGWAS1670	27201	242741
SEEDGWAS1671	27710	242742
SEEDGWAS1673	27822	242744
SEEDGWAS1674	27825	242745
SEEDGWAS1676	27934	242747
SEEDGWAS1679	27961	242750
SEEDGWAS168	11558	241238
SEEDGWAS1680	27968	242751
SEEDGWAS1681	27998	242752
SEEDGWAS1682	28014	242753
SEEDGWAS1683	28020	242754
SEEDGWAS1684	28025	242755
SEEDGWAS1685	28044	242756
SEEDGWAS1686	28325	242757
SEEDGWAS1689	28370	242760
SEEDGWAS169	11578	241239
SEEDGWAS1690	28484	242761
SEEDGWAS1691	28495	242762
SEEDGWAS1693	28513	242764
SEEDGWAS1694	28532	242765
SEEDGWAS1695	28536	242766
SEEDGWAS1696	28550	242767
SEEDGWAS1697	28589	242768
SEEDGWAS1698	28602	242769
SEEDGWAS1699	28764	242770
SEEDGWAS17	5579	241087
SEEDGWAS170	11618	241240
SEEDGWAS1700	28769	242771
SEEDGWAS1701	28771	242772
SEEDGWAS1702	28794	242773
SEEDGWAS1703	28798	242774
SEEDGWAS1704	28836	242775
SEEDGWAS1705	28841	242776
